FIPS Code,GISJOIN,Data File Year,Geographic Code Identifier
26163535800,G2601630535800,2020,9264
26163536100,G2601630536100,2020,9760
26163536200,G2601630536200,2020,9728
26163536300,G2601630536300,2020,9760
26163536400,G2601630536400,2020,9744
26163536500,G2601630536500,2020,9776
26163536600,G2601630536600,2020,8208
26163536700,G2601630536700,2020,8240
26163536800,G2601630536800,2020,8224
26163536900,G2601630536900,2020,8192
26163537000,G2601630537000,2020,8224
26163537100,G2601630537100,2020,8704
26163537200,G2601630537200,2020,8752
26163537300,G2601630537300,2020,8720
26163537500,G2601630537500,2020,8720
26163537600,G2601630537600,2020,9216
26163537700,G2601630537700,2020,9248
26163537800,G2601630537800,2020,9216
26163538100,G2601630538100,2020,9264
26163538200,G2601630538200,2020,9744
26163538300,G2601630538300,2020,9776
26163538400,G2601630538400,2020,9760
26163538500,G2601630538500,2020,9728
26163538600,G2601630538600,2020,9760
26163538700,G2601630538700,2020,8192
26163538800,G2601630538800,2020,8240
26163538900,G2601630538900,2020,8208
26163539000,G2601630539000,2020,8240
26163539100,G2601630539100,2020,8208
26163539200,G2601630539200,2020,8704
26163539300,G2601630539300,2020,8736
26163539400,G2601630539400,2020,8704
26163539500,G2601630539500,2020,8736
26163539600,G2601630539600,2020,8720
26163539700,G2601630539700,2020,9264
26163540100,G2601630540100,2020,9216
26163540200,G2601630540200,2020,9760
26163540300,G2601630540300,2020,9728
26163540400,G2601630540400,2020,9776
26163540500,G2601630540500,2020,9744
26163540600,G2601630540600,2020,9776
26163540700,G2601630540700,2020,16400
26163540800,G2601630540800,2020,16384
26163540900,G2601630540900,2020,16416
26163541000,G2601630541000,2020,16384
26163541100,G2601630541100,2020,16416
26163541200,G2601630541200,2020,16912
26163541300,G2601630541300,2020,16944
26163541400,G2601630541400,2020,16912
26163541500,G2601630541500,2020,16944
26163541700,G2601630541700,2020,17408
26163541800,G2601630541800,2020,17440
26163542100,G2601630542100,2020,17424
26163542200,G2601630542200,2020,17456
26163542300,G2601630542300,2020,17936
26163542400,G2601630542400,2020,17920
26163542500,G2601630542500,2020,17952
26163542600,G2601630542600,2020,17920
26163542900,G2601630542900,2020,16432
26163543000,G2601630543000,2020,16400
26163543100,G2601630543100,2020,16432
26163543200,G2601630543200,2020,16416
26163543300,G2601630543300,2020,16896
26163543400,G2601630543400,2020,16928
26163543500,G2601630543500,2020,16896
26163543700,G2601630543700,2020,16912
26163543900,G2601630543900,2020,17424
26163544000,G2601630544000,2020,17408
26163544100,G2601630544100,2020,17440
26163544200,G2601630544200,2020,17408
26163544300,G2601630544300,2020,17952
26163544800,G2601630544800,2020,16416
26163545100,G2601630545100,2020,16384
26163545200,G2601630545200,2020,16432
26163545500,G2601630545500,2020,16912
26163545600,G2601630545600,2020,16896
26163545700,G2601630545700,2020,16928
26163545800,G2601630545800,2020,17408
26163545900,G2601630545900,2020,17440
26163546000,G2601630546000,2020,17424
26163546100,G2601630546100,2020,17456
26163546201,G2601630546201,2020,17425
26163546301,G2601630546301,2020,17457
26163546600,G2601630546600,2020,17952
26163546700,G2601630546700,2020,17920
26163547000,G2601630547000,2020,16432
26163547100,G2601630547100,2020,16400
26163547200,G2601630547200,2020,16384
26163981700,G2601630981700,2020,25088
26163981800,G2601630981800,2020,25120
26163983600,G2601630983600,2020,560
26163984100,G2601630984100,2020,1056
26163984200,G2601630984200,2020,1024
26163985000,G2601630985000,2020,1568
26163985100,G2601630985100,2020,0
26163985200,G2601630985200,2020,48
26163985300,G2601630985300,2020,16
26163985500,G2601630985500,2020,16
26163985800,G2601630985800,2020,512
26163985900,G2601630985900,2020,544
